image_path,plate_text,line_count,char_count,is_valid_format,source_dataset,confidence_note
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/0_jpg.rf.7b00e9b620a815161f9df08554976e69.jpg,0123456789ABCDEFGHKLMNPSTUVXYZ,3,30,False,roboflow_ocr_plate,clustered_into_3_lines_not_a_plate;30_characters_above_plate_maximum;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10PlateBaza299_jpg.rf.6b8863d1fc063741be6937867d2fff48.jpg,ZG8894AB,2,8,False,roboflow_ocr_plate,non_vietnamese_source_image;valid_only_after_normalizer_correction
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/12xemay1338_jpg.rf.cfd01104f92289127bbbe8f0d729c16c.jpg,6061172,2,7,False,roboflow_ocr_plate,valid_only_after_normalizer_correction
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza487_jpg.rf.3128b512f4d78b26c301651da1c80e14.jpg,VU279AE,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza493_jpg.rf.069c882a783bd8fa5af6b49ffdc78762.jpg,ZG567EF,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza494_jpg.rf.594c52b3b03726bd94f54d5c30feb9da.jpg,K531CC,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza499_jpg.rf.2c8ce595a659a96dcd6707d3c4ec1e16.jpg,ZG17844,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;valid_only_after_normalizer_correction
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza502_jpg.rf.cdb25e8086dc0bb47a6e00f14d035a11.jpg,FFU1004,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza507_jpg.rf.19c3ae136e4ce9bf69b155ff43a63c4d.jpg,KA365CP,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1PlateBaza508_jpg.rf.09b6ff2a2dc20c342665ab596a3e9ee8.jpg,VU253H,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1179_jpg.rf.859c3bdc39ad26b235ee274ba0d48e67.jpg,5142488,2,7,False,roboflow_ocr_plate,valid_only_after_normalizer_correction
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2398_jpg.rf.74e7b462bbeb76b2cccaac7a7db67ca8.jpg,6F150,2,5,False,roboflow_ocr_plate,only_5_characters;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza101_jpg.rf.8e214dd6432fe4637c2dbbf1a35525df.jpg,DA545A,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza104_jpg.rf.222e24db47622665e8282b13927e2129.jpg,S569AD,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza110_jpg.rf.227e8a1976b0ae7c8fc4aa041e8f9c45.jpg,545C,1,4,False,roboflow_ocr_plate,only_4_characters;non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza118_jpg.rf.60713f9b40916fa81982e67a1ad100bd.jpg,ZG9130AG,1,8,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza119_jpg.rf.a93a9392ca4e9d4d90b9ae715f755eec.jpg,0205MC,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza126_jpg.rf.ad572e73b75ad3f84930095358c7b7a3.jpg,489T051,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza127_jpg.rf.9db7aa19fe07054fa085ddd29286a468.jpg,ZG7499A,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;valid_only_after_normalizer_correction
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza128_jpg.rf.35afd787b1a870565122e49ac019ed78.jpg,ZG3227N,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza133_jpg.rf.6f4d013af117ab68d0098e69b266b527.jpg,BKF196,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza135_jpg.rf.6e0ae553de9216f22ea0accfc7db0528.jpg,KZ422S,1,6,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza138_jpg.rf.e2624b41454c28f853187aa518251a04.jpg,ZG4154AC,1,8,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2PlateBaza13_jpg.rf.a840d72e34c47d1ec625fe8862c5600d.jpg,ZG877TF,1,7,False,roboflow_ocr_plate,non_vietnamese_source_image;no_matching_plate_pattern
