image_path,plate_text,line_count,plate_color,source_dataset,split
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_15H05619_05-02-2024_12-28-01_640_jpg.rf.689c83fdae92b8254abee263485000dd.jpg,15H05619,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_18B01587_05-02-2024_09-33-48_640_jpg.rf.326670098ab5b876d490ba032957dcf8.jpg,18B01587,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_34B02717_05-02-2024_07-54-11_640_jpg.rf.1cd9740757f41a4edd79bd89663b797e.jpg,34B02717,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_43B02851_05-02-2024_06-26-47_640_jpg.rf.4a3d321d6dcc7d861b2efef19c0a88d5.jpg,43B02851,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50E05960_28-01-2024_13-06-57_640_jpg.rf.4fa5c3d6656f940582a2c5090ea292e9.jpg,50E05960,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50F01627_29-01-2024_14-56-00_640_jpg.rf.94b81882e47afca7a7f306dcadbe6c08.jpg,50F01627,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50F01659_05-02-2024_12-07-28_640_jpg.rf.8822c61e738ad36d269defa850492ff2.jpg,50F01659,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50F01690_28-01-2024_09-18-48_640_jpg.rf.1cf1879cf0f133cbc7b3e22d6e7b5f95.jpg,50F01690,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50F02086_05-02-2024_10-26-11_640_jpg.rf.5a5d3ed4177fd1c44c76d1707a1df9d3.jpg,50F02086,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_50F02134_28-01-2024_11-42-47_640_jpg.rf.d898a9dabe1a4a355bcd3a2467f7a6a7.jpg,50F02134,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_51B50157_28-01-2024_11-50-35_640_jpg.rf.2c0eab8baa370ae93142d3bc96547d43.jpg,51B50157,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_51D18992_05-02-2024_07-28-42_640_jpg.rf.1eed790443d079174312c5f889dd029c.jpg,51D18992,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_60H01015_29-01-2024_12-17-47_640_jpg.rf.c89abbb18eb299a69bb1f35a811bd2c6.jpg,60H01015,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_61B02747_05-02-2024_10-16-57_640_jpg.rf.421b9e7837b5776bc18bf22310ece94f.jpg,61B02747,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_61H06655_05-02-2024_10-40-05_640_jpg.rf.d0b413bdfb68d8866856622974849a2a.jpg,61H06655,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_71H02205_29-01-2024_12-05-09_640_jpg.rf.9291a90deabf6d2cc47f4a6acdf3f4e2.jpg,71H02205,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_73C09968_05-02-2024_13-24-01_640_jpg.rf.33e87be09cb4f45295daf9718e18d302.jpg,73C09968,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_77E00721_05-02-2024_07-55-21_640_jpg.rf.762a6a5e72f4613af02daefcfbfe7c5d.jpg,77E00721,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_79B01976_29-01-2024_09-32-27_640_jpg.rf.0ed63bf0758502ed5cf14c9405376bbf.jpg,79B01976,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_79B03114_05-02-2024_12-11-50_640_jpg.rf.2e29c574924a436fc1e5b2190e062eb9.jpg,79B03114,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_85B00522_05-02-2024_06-42-14_640_jpg.rf.9b7c8836875b53e64b92c05a38a5ef07.jpg,85B00522,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_85C03580_05-02-2024_12-38-11_640_jpg.rf.591518fb6b45acece77e2aad4b123645.jpg,85C03580,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_85G00009_04-02-2024_08-27-13_640_jpg.rf.c169314006e78defea1c6a44c762886f.jpg,85G00009,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_85H00020_05-02-2024_06-05-15_640_jpg.rf.12fb141e59bae81918e35302c4fbe848.jpg,85H00020,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86A00113_04-02-2024_15-51-52_640_jpg.rf.8873b806c43ecf8c227f5de4fd5c2994.jpg,86A00113,1,blue,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86A00118_29-01-2024_16-13-36_640_jpg.rf.99246fc55b028c12df86646d5a34d176.jpg,86A00118,1,blue,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86A00229_05-02-2024_06-45-40_640_jpg.rf.c7c2a95efc9db6947d9265eb405dac32.jpg,86A00229,1,blue,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86A00245_29-01-2024_15-24-05_640_jpg.rf.e795db363268da49f6adf8e32bf072cf.jpg,86A00245,1,blue,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86B00946_05-02-2024_11-36-36_640_jpg.rf.de10f1e3a4ddd08eab52549bb2e71a5c.jpg,86B00946,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86B01261_04-02-2024_16-50-18_640_jpg.rf.5cc61bbb97a95e4d5cc10ab3b3656e6c.jpg,86B01261,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86B01282_04-02-2024_12-12-09_640_jpg.rf.d8a400ec03f0d9583431481939e2b34f.jpg,86B01282,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86C06210_29-01-2024_12-18-14_640_jpg.rf.3f47c313f26a5372bfbd158f0a114dad.jpg,86C06210,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86C08129_05-02-2024_10-46-19_640_jpg.rf.19203266d051b6f4476a4e6441018ada.jpg,86C08129,1,yellow,roboflow_plate_color,train
D:/DATN/datasets/raw/roboflow_plate_color/train/images/crop_caunamprc554_86F00320_05-02-2024_12-57-59_640_jpg.rf.08b9573e62adcc315399b0092ca02f6a.jpg,86F00320,1,yellow,roboflow_plate_color,train
